plant_id,plant_name,category,Type,light_requirement,water_frequency,temp_min,temp_max,maintenance_level,growth_rate,price,stock_quantity,expert_score
23,Draik/Shandai (3-5 feet),outdoor,Forest,high,7days,5,40,low,medium,30,100,10
24,Chinar (3-5 feet),outdoor,Forest,high,7days,5,40,low,medium,150,100,10
25,Chinar (5-8 feet),outdoor,Forest,high,7days,5,40,low,medium,500,40,10
26,Oak/Drawa (1-1.5 feet),outdoor,Forest,high,7days,2,40,low,medium,60,100,10
27,Oak/Drawa (2-4 feet),outdoor,Forest,high,7days,2,40,low,medium,190,100,10
28,Ailanthus (3-5feet),outdoor,Forest,high,7days,5,45,low,medium,40,100,10
29,Sufaida delta (small and large),outdoor,Forest,high,7days,5,45,low,medium,40,500,10
30,Sufaida normal  (small and large),outdoor,Forest,high,7days,5,45,low,medium,40,500,10
31,Lychee,outdoor,Fruit,high,3days,5,45,medum,medium,2000,5,10
32,Zaitoon/Olive (bag) small,outdoor,Fruit,high,3days,2,45,low,medium,300,10,10
33,Zaitoon/Olive (bag) large,outdoor,Fruit,high,7days,2,45,low,medium,700,10,10
34,"Plum/Alocha (early beauty,fazli manani)",outdoor,Fruit,high,7days,2,40,low,medium,180,100,10
35,Pear/Nashpati ,outdoor,Fruit,high,7days,2,40,medum,medium,180,100,10
36,"Peach/aro (earlygrand, floridaking, 8 No.)",outdoor,Fruit,high,7days,2,40,high,medium,190,100,10
37,"Pomegranate/Anar (Qandahari, turnab gulabi)",outdoor,Fruit,high,7days,2,45,medum,medium,180,100,10
38,"Fig/enjeer (Black, White, sheikh zayedi)",outdoor,Fruit,high,7days,2,40,low,medium,250,100,10
39,"Guava/amrud (white, red, round, thai)",outdoor,Fruit,high,7days,2,40,low,medium,200,100,10
40,"Khubani/apricot (Badami, yellow)",outdoor,Fruit,high,7days,2,40,medum,medium,260,100,10
41,Malta/red blood oranges (Palai),outdoor,Fruit,high,7days,8,45,low,medium,250,100,10
42,Lemon (danedar),outdoor,Fruit,high,7days,8,45,low,medium,700,100,10
43,"Lemon (China/kaghazi, seedless, lisban)",outdoor,Fruit,high,7days,8,45,low,medium,280,100,10
44,Lemon/norangi,outdoor,Fruit,high,7days,8,45,low,medium,700,100,10
45,Kamquat (small),outdoor,Fruit,high,7days,8,45,low,medium,250,100,10
46,Kamquat (danedar),outdoor,Fruit,high,7days,8,45,low,medium,1000,100,10
47,"Mango (Chonsa, shane khuda)",outdoor,Fruit,high,7days,8,45,medum,medium,1500,100,10
48,Banana ,outdoor,Fruit,high,7days,8,45,medum,medium,350,100,10
49,Lougat (Grafted),outdoor,Fruit,high,7days,8,45,low,medium,350,100,10
50,Lougat (Seedling),outdoor,Fruit,high,7days,8,45,low,medium,200,100,10
51,Walnut/akhroot (grafted),outdoor,Fruit,high,7days,2,40,low,medium,350,100,10
52,Walnut/akhroot (seedling),outdoor,Fruit,high,7days,2,40,low,medium,150,100,10
53,"Apple (Goldern, franci, ana)",outdoor,Fruit,high,7days,2,40,low,medium,200,100,10
54,Amlook/persimon,outdoor,Fruit,high,7days,5,40,low,medium,260,100,10
55,Almond/Badam,outdoor,Fruit,high,7days,5,40,low,medium,350,100,10
56,Pecan (grafted),outdoor,Fruit,high,7days,2,40,low,medium,700,100,10
57,Pecan (seedling),outdoor,Fruit,high,7days,2,40,low,medium,150,100,10
58,Litchi (gola),outdoor,Fruit,high,7days,8,45,low,medium,700,100,10
59,Kino,outdoor,Fruit,high,7days,8,45,medum,medium,250,100,10
60,Galgal,outdoor,Fruit,high,7days,8,45,low,medium,700,100,10
61,Fruiter,outdoor,Fruit,high,7days,8,45,low,medium,350,100,9
62,Meetha,outdoor,Fruit,high,7days,8,45,low,medium,350,100,9
63,Chakutra,outdoor,Fruit,high,7days,8,45,low,medium,700,100,10
64,"Grapes (Sundarkhani, Seedless, Blacknar, china)",outdoor,Fruit,high,7days,10,45,medum,medium,200,100,10
65,Papaya/papeeta,outdoor,Fruit,high,7days,5,45,medum,medium,500,100,10
66,Avocado (small),outdoor,Fruit,high,7days,5,40,low,medium,500,100,10
67,Avocado (large),outdoor,Fruit,high,7days,5,40,low,medium,1200,100,10
68,Dragon fruit,outdoor,Fruit,high,7days,5,45,medum,medium,700,100,10
69,Pista,outdoor,Fruit,high,7days,5,40,medum,medium,700,100,9
70,Cashew net/Kajo,outdoor,Fruit,high,7days,5,45,medum,medium,700,100,10
71,Blackberry,outdoor,Fruit,high,7days,2,40,low,medium,500,100,10
72,Elaichi,outdoor,Fruit,high,7days,2,40,low,medium,3500,100,10
73,Rasberry,outdoor,Fruit,high,7days,2,40,low,medium,500,100,9
74,Passion fruit,outdoor,Fruit,high,7days,5,45,medum,medium,250,100,10
75,Kewi,outdoor,Fruit,high,7days,5,45,medum,medium,400,100,9
76,Cheko large growbag/pot,outdoor,Fruit,high,7days,8,45,medum,medium,3500,100,10
77,Cheko small,outdoor,Fruit,high,7days,8,45,medum,medium,700,100,10
78,Cherry,outdoor,Fruit,high,7days,2,45,medum,medium,350,100,10
79,Ruellia (bag),outdoor,ground cover,high,1day,5,40,medum,medium,80,50,9
80,Ruellia (pot),outdoor,ground cover,high,1day,5,40,medum,medium,300,50,9
81,Gazania bag,outdoor,ground cover,high,1day,2,40,medum,high,40,100,10
82,Gazania pot,outdoor,ground cover,high,1day,2,40,medum,high,80,100,10
83,Cophea (vinca) ground cover like duranta,outdoor,ground cover,high,2days,8,45,medum,medium,50,100,10
84,Ribbon grass (mix design),outdoor,ground cover,high,2days,8,45,medum,medium,150,100,10
85,Asparagus,outdoor,ground cover,high,2days,8,45,medum,medium,100,100,10
86,Stevia,outdoor,ground cover,high,2days,8,45,medum,medium,150,100,10
87,Tradescantia/hanging,outdoor,ground cover,high,2days,8,45,medum,medium,100,100,10
88,"wedalia, hanging yellow flower",outdoor,ground cover,high,2days,8,45,medum,medium,100,100,10
89,Spider plant,outdoor,ground cover,high,2days,8,45,medum,medium,150,100,10
90,Rosemary (bag),outdoor,Herbal,medium,3days,2,40,medum,medium,130,100,10
91,Rosemary (pot),outdoor,Herbal,medium,3days,2,40,medum,medium,250,100,10
92,"Phoenix palm (12"" pot)",outdoor & indoor,Palm,medium,3days,5,40,low,medium,450,40,10
93,Phoenix palm(small pot),outdoor & indoor,Palm,medium,3days,5,45,low,medium,250,40,10
94,"Lady palm/Raphis 12"" pot",outdoor & indoor,Palm,medium,3days,5,40,low,medium,450,40,10
95,Phoenix palm large (concrete pot),outdoor & indoor,Palm,medium,3days,5,45,low,medium,4500,10,10
96,Washingtonia large 3-5feet CT,outdoor,Palm,high,5days,5,45,low,medium,8000,10,10
97,Washingtonia large 5-8 feet CT,outdoor,Palm,high,5days,5,45,low,medium,14000,10,10
98,Washingtonia large12 inch pot,outdoor & indoor,Palm,high,5days,5,45,low,medium,300,50,10
99,Foxtail palm 2-4 feet CT,outdoor,Palm,medium,5days,5,45,low,medium,2500,5,8
100,Foxtail palm 4-6 feet CT,outdoor,Palm,medium,5days,5,45,low,medium,4500,5,8
101,Phoenix palm (bag),outdoor & indoor,Palm,medium,3days,5,45,low,medium,200,10,10
102,Can palm 12inch,outdoor,Palm,high,2days,8,45,medum,medium,350,100,10
103,Alexandra palm 18inch,outdoor,Palm,high,2days,8,45,medum,medium,4500,100,10
104,Golden palm 12 inch,outdoor,Palm,high,2days,8,45,medum,medium,450,100,10
105,Cat palm 12 inch,outdoor,Palm,high,2days,8,45,medum,medium,500,100,10
106,Ravena palm 18 inch,outdoor,Palm,high,2days,8,45,medum,medium,4500,100,10
107,Areca palm 12 inch,outdoor,Palm,high,2days,8,45,medum,medium,500,100,10
108,Phonenix palm 10inch,outdoor,Palm,high,2days,8,45,medum,medium,250,100,10
109,Washingtonia small,outdoor,Palm,high,2days,8,45,medum,medium,200,100,10
110,Ravanela/banana palm,outdoor,Palm,high,2days,8,45,medum,medium,1500,100,10
111,Cestrum diurnam-Din ka raja (bag),outdoor,Shrub,high,2days,2,45,medum,medium,50,20,6
112,Jasmine single creeper bag,outdoor,Shrub,high,2days,5,45,low,medium,100,100,9
113,Lemon grass (green tea bag),outdoor,Shrub,high,2days,5,45,low,high,100,100,10
114,Lemon grass (green tea pot),outdoor,Shrub,high,2days,5,45,low,high,150,100,10
115,Moon ficus dwarf,outdoor & indoor,Shrub,medium,3days,5,45,low,low,200,50,10
116,"Dracena Corn plant 12""",outdoor & indoor,Shrub,medium,3days,5,35,low,low,300,50,10
117,"Murraya 12"" (marwa)",outdoor,Shrub,high,3days,5,45,medum,high,300,50,9
118,"Eunonymus 12"" pot",outdoor & indoor,Shrub,medium,5days,2,40,low,medium,300,40,10
119,"Eunonymus 6""",outdoor & indoor,Shrub,medium,5days,2,40,low,medium,200,40,10
120,Gulab english,outdoor,Shrub,medium,3days,5,45,medum,medium,300,50,10
121,"Asparagus 12""",outdoor & indoor,Shrub,medium,5days,2,40,low,medium,300,40,10
122,Asparagus small,outdoor & indoor,Shrub,medium,5days,2,40,low,medium,150,40,10
123,Bougainvillea (bag),outdoor,Shrub,maximum,3days,8,45,medum,medium,200,20,8
124,Ficus nittida 12 inch pot,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,350,50,10
125,Ficus nittida 6 inch pot,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,200,50,10
126,Ficus nittida growbag,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,1500,10,10
127,"Jasmine sambac (motia 12"" pot)",outdoor,Shrub,medium,3days,5,45,low,medium,300,50,10
128,Jasmine sambac (motia small bag),outdoor,Shrub,medium,3days,5,45,low,medium,100,100,10
129,Ficus dwarf small,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,300,30,10
130,"Moon ficus 6""",outdoor & indoor,Shrub,medium,3days,5,45,low,medium,250,50,10
131,Melaleuca small,outdoor,Shrub,high,2days,8,45,medum,medium,150,100,9
132,Melaleuca large,outdoor,Shrub,high,2days,8,45,medum,medium,350,100,9
133,Ficus panda small,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,150,50,10
134,Ficus panda 12inch pot,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,350,50,10
135,Ficus panda 16inch pot,outdoor & indoor,Shrub,medium,3days,5,45,low,medium,2000,30,10
136,Osmanthus,outdoor,Shrub,high,2days,2,40,low,medium,1000,20,10
137,Morpank,outdoor,Shrub,high,2days,8,45,medum,medium,100,100,10
138,Serva small,outdoor,Shrub,high,2days,8,45,medum,medium,100,100,10
139,Serva  large,outdoor,Shrub,high,2days,8,45,medum,medium,250,100,10
140,Night queen (Rat ki rani bag),outdoor,Shrub,high,2days,8,45,medum,medium,130,100,10
141,Hibiscus (bag),outdoor,Shrub,high,2days,8,45,medum,medium,100,100,10
142,Marwa (bag),outdoor,Shrub,high,2days,8,45,medum,medium,100,100,10
143,Gardenia (khushbo wala) (bag),outdoor,Shrub,high,2days,8,45,medum,medium,150,100,10
144,Juniper small pot,outdoor,Shrub,high,2days,8,45,medum,medium,200,100,10
145,Tecomaria pot,outdoor,Shrub,high,2days,8,45,medum,medium,400,100,10
146,Jasmine (motia) small bag,outdoor,Shrub,high,2days,8,45,medum,medium,100,100,10
147,Jatropha 12inch,outdoor,Shrub,high,2days,8,45,medum,medium,400,100,10
148,Jatropha small,outdoor,Shrub,high,2days,8,45,medum,medium,150,100,10
149,Lagestromia red/black,outdoor,Shrub,high,2days,8,45,medum,medium,450,100,10
150,Lagestromia green,outdoor,Shrub,high,2days,8,45,medum,medium,350,100,10
151,Hibiscus tree,outdoor,Shrub,high,2days,8,45,medum,medium,500,100,10
152,Lagestrum small,outdoor,Shrub,high,2days,8,45,medum,medium,50,100,10
153,Duranta mix color large (green+yellow),outdoor,Shrub,high,2days,8,45,medum,medium,60,100,10
154,Bougainvillea mix color,outdoor,Shrub,high,2days,8,45,medum,medium,150,100,10
155,Duranta mix color small,outdoor,Shrub,high,2days,8,45,medum,medium,30,100,10
156,Lemon grass,outdoor,Shrub,high,2days,8,45,medum,medium,50,100,10
157,Rosemary,outdoor,Shrub,high,2days,8,45,medum,medium,100,100,10
158,Panda step (2-3),outdoor,Shrub,high,2days,8,45,medum,medium,3500,100,10
159,Aerocaria 12 inch,outdoor,Shrub,high,2days,8,45,medum,medium,1200,100,10
160,Ficus hawai,outdoor,Shrub,high,2days,8,45,medum,medium,250,100,10
161,Ficus pand/nitida (small),outdoor,Shrub,high,2days,8,45,medum,medium,150,100,10
162,Cydonia,outdoor,Shrub,high,2days,8,45,medum,medium,500,100,10
163,Xanthos (sheight zayed plant),outdoor,Shrub,high,2days,8,45,medum,medium,1500,100,10
164,Hydrangia,outdoor,Shrub,high,2days,8,45,medum,medium,3000,100,10
165,Esocaria small,outdoor,Shrub,high,2days,8,45,medum,medium,200,100,10
166,Bird of paradize,outdoor,Shrub,high,2days,8,45,medum,medium,1200,100,10
167,Rubar plant 12 inch ,outdoor,Shrub,high,2days,8,45,medum,medium,500,100,10
168,Rubar plant 6 inch ,outdoor,Shrub,high,2days,8,45,medum,medium,250,100,10
169,Tamrilo/tomato tree,outdoor,Shrub,high,2days,8,45,medum,medium,600,100,10
170,Murraya (marwa) bag,outdoor,Shrub,high,2days,8,45,medum,medium,100,150,10
171,Leucophyllum (silvery) bag,outdoor,Shrub,high,2days,8,45,medum,medium,100,150,10
172,Murraya (marwa 12 inch pot),outdoor,Shrub,high,2days,8,45,medum,medium,100,150,10
173,Safora,outdoor,Shrub,high,2days,8,45,medum,medium,100,150,10
174,Kari pata,outdoor,Shrub,high,2days,8,45,medum,medium,100,150,10
175,Piece lily 6inch pot,indoor,Shrub,low,20days,8,32,low,low,3500,5,10
176,Aglonema 12 inch pot,indoor,Shrub,low,20days,8,32,low,low,6000,5,10
177,Anthorium 6inch pot,indoor,Shrub,low,20days,8,32,low,low,7000,5,10
178,Phelodendrone 12 inch pot,indoor,Shrub,low,20days,8,32,low,low,3500,5,10
179,Bamboo ,indoor,Shrub,low,20days,8,32,low,low,4500,5,10
180,Deffenbachia 12inch pot,indoor,Shrub,low,20days,8,32,low,low,3500,5,10
181,Zamioculcus 6 inch pot,indoor,Shrub,low,20days,8,32,low,low,6500,5,10
182,croton small,indoor,Shrub,low,20days,8,32,low,low,150,5,10
183,croton large 12 inch,indoor,Shrub,low,20days,8,32,low,low,400,5,10
184,Aquba 12 inch,indoor,Shrub,low,20days,8,32,low,low,600,5,10
185,Dracena red,indoor,Shrub,low,20days,8,32,low,low,400,5,10
186,Dracena green,indoor,Shrub,low,20days,8,32,low,low,350,5,10
187,Dracena margina 12 inch,indoor,Shrub,low,20days,8,32,low,low,350,5,10
188,Dracena margina small,indoor,Shrub,low,20days,8,32,low,low,200,5,10
189,Dracena makai,indoor,Shrub,low,20days,8,32,low,low,600,5,10
190,Dracena (song of india),indoor,Shrub,low,20days,8,32,low,low,700,5,10
191,Dracena dreco,indoor,Shrub,low,20days,8,32,low,low,1500,5,10
192,Scheflera small,indoor,Shrub,low,20days,8,32,low,low,250,5,10
193,Scheflera 12 inch,indoor,Shrub,low,20days,8,32,low,low,400,5,10
194,Money plant 12 inch,indoor,Shrub,low,20days,8,32,low,low,1200,5,10
195,Ficus nittida large potted,outdoor & indoor,specimen/shaped,medium,3days,5,45,low,medium,5000,10,10
196,Ficus panda large pot XL,outdoor & indoor,specimen/shaped,medium,3days,5,45,low,medium,4500,20,10
197,Ficus neteda vase shape,outdoor,specimen/shaped,high,3days,8,45,medum,medium,4500,150,10
198,String of pearls (tasbeeh dane),outdoor,succulents,high,2days,8,45,medum,medium,500,100,10
199,Aptenia(ice plant) hanging,outdoor,succulents,high,2days,8,45,medum,medium,350,100,10
200,lampranthus/hanging,outdoor,succulents,high,2days,8,45,medum,medium,100,100,10
201,Elephantis ,outdoor,succulents,high,2days,8,45,medum,medium,250,100,10
202,cactus grafted various types,outdoor,succulents,high,2days,8,45,medum,medium,2000,100,10
203,Pedilanthus/nagan,outdoor,succulents,high,2days,8,45,medum,medium,150,100,10
204,"Aloe vera 12""",outdoor & indoor,succulents,medium,5days,8,45,low,medium,300,50,10
205,Aloe vera small,outdoor & indoor,succulents,medium,5days,8,45,low,medium,150,30,10
206,Succulents,outdoor & indoor,succulents,medium,5days,8,45,low,medium,150,80,10
207,Moringa tree,outdoor,Tree,high,2days,8,45,medum,medium,500,100,10
208,Amaltus/cassia fistola tree 4-8 feet,outdoor,Tree,high,2days,8,45,medum,medium,350,100,10
209,Karak champta,outdoor,Tree,high,2days,8,45,medum,medium,500,100,10
210,Jacaranda 5-8 feet,outdoor,Tree,high,2days,8,45,medum,medium,250,100,10
211,silveroak 5-8 feet,outdoor,Tree,high,2days,8,45,medum,medium,250,100,10
212,Melaloka small,outdoor,Tree,high,2days,8,45,medum,medium,350,100,10
213,Melaloka 12 inch,outdoor,Tree,high,2days,8,45,medum,medium,600,100,10
214,Chinar tree large,outdoor,Tree,high,2days,8,45,medum,medium,600,100,10
215,Chinar tree small,outdoor,Tree,high,2days,8,45,medum,medium,150,150,10
216,"Magnolia 12""",outdoor,Tree,high,3days,2,40,medum,medium,1000,100,10
217,Sterculia,outdoor,Tree,high,7days,2,40,low,medium,400,100,10
218,Pelcon tree small,outdoor,Tree,high,7days,2,40,low,medium,500,50,10
219,Pelcon tree large (bag),outdoor,Tree,high,7days,2,40,low,medium,2000,50,10
220,Guli Nashtar (red flower),outdoor,Tree,high,7days,2,40,low,medium,600,50,10
221,Magnolia purple,outdoor,Tree,high,7days,2,40,low,medium,3000,50,10
222,Lagerstroemia yellow/red/pink/purple,outdoor,Tree,high,7days,2,40,low,medium,500,50,10
223,Rubber plant large growbag/pot,outdoor,Tree,high,7days,2,40,low,medium,600,50,10
224,Chir/pine/Nakhtar (0.8-2feet),outdoor,Tree,high,7days,2,40,low,medium,30,100,10
225,Chir/pine/Nakhtar (2-3feet),outdoor,Tree,high,7days,2,40,low,medium,150,100,10
226,Chir/pine/Nakhtar (5-10feet) potted/grow bag),outdoor,Tree,high,7days,2,40,low,medium,3000,100,10
227,Diayr (0.8-2feet),outdoor,Tree,high,7days,2,40,low,medium,40,100,10
228,Diayr (2-3feet),outdoor,Tree,high,7days,2,40,low,medium,160,100,10
229,Diayr (5-10feet) potted/grow bag),outdoor,Tree,high,7days,2,40,low,medium,3500,100,10
